,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,resnext_29_4x64d_ra_3_20_c10val,400,cifar10,1.5333,0.6144,96.4,"(96.0, 96.7)"
1,resnext_29_4x64d_ra_3_20_c10val,400,cifar10.1,1.9963,0.5025,89.6,"(88.2, 90.9)"
2,resnext_29_4x64d_ra_3_20_c10val_refined400,50,cifar10.1,0.6909,0.8175,89.6,"(88.2, 90.9)"
3,resnext_29_4x64d_ra_3_20_c10val_refined400,50,cifar10,0.3331,0.9027,96.4,"(96.0, 96.7)"
