,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,resnet_basic_32_ra_2_5_c10val,400,cifar10,1.063,0.8184,92.5,"(92.0, 93.0)"
1,resnet_basic_32_ra_2_5_c10val,400,cifar10.1,1.8474,0.6975,84.9,"(83.2, 86.4)"
2,resnet_basic_32_ra_2_5_c10val_refined400,50,cifar10.1,0.8337,0.7855,84.9,"(83.2, 86.4)"
3,resnet_basic_32_ra_2_5_c10val_refined400,50,cifar10,0.4218,0.8823,92.5,"(92.0, 93.0)"
