,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,wrn_28_10_ra_3_20,400,cifar10,0.9243,0.7599,95.9,"(95.5, 96.3)"
1,wrn_28_10_ra_3_20,300,cifar10,0.9077,0.7647,95.9,"(95.5, 96.3)"
2,wrn_28_10_ra_3_20,400,cifar10.1,1.5253,0.629,89.7,"(88.3, 91.0)"
3,wrn_28_10_ra_3_20,300,cifar10.1,1.5326,0.62,89.7,"(88.3, 91.0)"
4,wrn_28_10_ra_3_20_refined400,50,cifar10.1,0.6707,0.798,89.7,"(88.3, 91.0)"
5,wrn_28_10_ra_3_20_refined400,50,cifar10,0.3287,0.9001,95.9,"(95.5, 96.3)"
