,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,densenet_BC_100_12_ra_2_5_c10val,400,cifar10,0.5422,0.8907,95.5,"(95.1, 95.9)"
1,densenet_BC_100_12_ra_2_5_c10val,300,cifar10,0.5343,0.8911,95.5,"(95.1, 95.9)"
2,densenet_BC_100_12_ra_2_5_c10val,400,cifar10.1,1.126,0.777,87.6,"(86.1, 89.0)"
3,densenet_BC_100_12_ra_2_5_c10val,300,cifar10.1,1.1397,0.784,87.6,"(86.1, 89.0)"
4,densenet_BC_100_12_ra_2_5_refined400_c10val,50,cifar10.1,0.5555,0.857,87.6,"(86.1, 89.0)"
5,densenet_BC_100_12_ra_2_5_refined400_c10val,50,cifar10,0.299,0.9321,95.5,"(95.1, 95.9)"
