,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,resnet_basic_32_cm_1_.25,400,cifar10,2.9042,0.3767,92.5,"(92.0, 93.0)"
1,resnet_basic_32_cm_1_.25,400,cifar10.1,3.1122,0.3345,84.9,"(83.2, 86.4)"
2,resnet_basic_32_cm_1_.25_refined400,50,cifar10.1,0.8788,0.822,84.9,"(83.2, 86.4)"
3,resnet_basic_32_cm_1_.25_refined400,50,cifar10,0.4306,0.9072,92.5,"(92.0, 93.0)"
