,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,wrn_28_10_cm_1_1,400,cifar10,0.2854,0.9323,95.9,"(95.5, 96.3)"
1,wrn_28_10_cm_1_1,400,cifar10.1,0.5985,0.856,89.7,"(88.3, 91.0)"
2,wrn_28_10_cm_1_1_refined400,50,cifar10.1,0.6063,0.883,89.7,"(88.3, 91.0)"
3,wrn_28_10_cm_1_1_refined400,50,cifar10,0.2518,0.952,95.9,"(95.5, 96.3)"
