,Loss,Accuracy
265,0.1881,0.9560
266,0.1676,0.9635
267,0.1992,0.9560
268,0.1799,0.9575
269,0.1753,0.9575
270,0.1772,0.9600
271,0.2002,0.9530
272,0.1877,0.9535
273,0.1988,0.9520
274,0.1867,0.9555
275,0.1902,0.9545
276,0.1782,0.9575
277,0.1762,0.9620
278,0.1830,0.9570
279,0.1925,0.9525
280,0.1568,0.9620
281,0.1707,0.9595
282,0.1766,0.9610
283,0.1895,0.9570
284,0.1742,0.9590
285,0.1753,0.9560
286,0.2148,0.9500
287,0.1581,0.9615
288,0.1716,0.9575
289,0.1935,0.9505
290,0.1534,0.9600
291,0.1622,0.9605
292,0.1758,0.9580
293,0.1949,0.9565
294,0.1691,0.9595
295,0.1721,0.9610
296,0.1599,0.9595
297,0.1624,0.9610
298,0.1682,0.9600
299,0.1707,0.9590
