,Loss,Accuracy,Checkpoint,Testset
0,1.1492,0.6957,densenet_BC_100_12_ra_1_20_checkpoint_00400.pth,CIFAR10_RA_1_20
1,2.3043,0.4792,densenet_BC_100_12_ra_1_20_checkpoint_00050.pth,CIFAR10_RA_1_20
2,2.1353,0.5303,densenet_BC_100_12_ra_1_20_c10val_checkpoint_00050.pth,CIFAR10_RA_1_20
3,1.1273,0.6988,densenet_BC_100_12_ra_1_20_c10val_checkpoint_00400.pth,CIFAR10_RA_1_20
4,3.2676,0.4635,densenet_BC_100_12_ra_1_20_checkpoint_00400.pth,CIFAR101_RA_1_20
5,3.0038,0.4965,densenet_BC_100_12_ra_1_20_checkpoint_00050.pth,CIFAR101_RA_1_20
6,2.6572,0.5010,densenet_BC_100_12_ra_1_20_c10val_checkpoint_00050.pth,CIFAR101_RA_1_20
7,3.2946,0.4565,densenet_BC_100_12_ra_1_20_c10val_checkpoint_00400.pth,CIFAR101_RA_1_20
8,1.6369,0.6328,resnet_basic_32_ra_1_20_checkpoint_00400.pth,CIFAR10_RA_1_20
9,1.9277,0.522,resnet_basic_32_ra_1_20_checkpoint_00050.pth,CIFAR10_RA_1_20
10,5.1619,0.344,resnet_basic_32_ra_1_20_checkpoint_00400.pth,CIFAR101_RA_1_20
11,3.1455,0.4125,resnet_basic_32_ra_1_20_checkpoint_00050.pth,CIFAR101_RA_1_20
12,3.9263,0.3291,wrn_28_10_ra_2_20_checkpoint_00050.pth,CIFAR10_RA_2_20
13,1.637,0.4858,wrn_28_10_ra_2_20_checkpoint_00400.pth,CIFAR10_RA_2_20
14,1.5669,0.4909,resnext_29_4x64d_ra_2_20_checkpoint_00400.pth,CIFAR10_RA_2_20
15,4.8382,0.1921,resnext_29_4x64d_ra_2_20_checkpoint_00050.pth,CIFAR10_RA_2_20
16,3.4982,0.327,wrn_28_10_ra_2_20_checkpoint_00050.pth,CIFAR101_RA_2_20
17,2.5823,0.3185,wrn_28_10_ra_2_20_checkpoint_00400.pth,CIFAR101_RA_2_20
18,6.9999,0.229,resnext_29_4x64d_ra_2_20_checkpoint_00400.pth,CIFAR101_RA_2_20
19,5.1704,0.2945,resnext_29_4x64d_ra_2_20_checkpoint_00050.pth,CIFAR101_RA_2_20
20,4.066,0.1444,resnext_29_4x64d_ra_3_20_checkpoint_00050.pth,CIFAR10_RA_3_20
21,2.123,0.3197,resnext_29_4x64d_ra_3_20_checkpoint_00400.pth,CIFAR10_RA_3_20
22,2.8097,0.2866,resnet_basic_32_ra_3_20_checkpoint_00400.pth,CIFAR10_RA_3_20
23,10.2364,0.123,resnet_basic_32_ra_3_20_checkpoint_00050.pth,CIFAR10_RA_3_20
24,2.0687,0.3308,wrn_28_10_ra_3_20_checkpoint_00400.pth,CIFAR10_RA_3_20
25,2.5525,0.2433,wrn_28_10_ra_3_20_checkpoint_00050.pth,CIFAR10_RA_3_20
26,4.3857,0.192,resnext_29_4x64d_ra_3_20_checkpoint_00050.pth,CIFAR101_RA_3_20
27,3.1882,0.1775,resnext_29_4x64d_ra_3_20_checkpoint_00400.pth,CIFAR101_RA_3_20
28,4.8182,0.1665,resnet_basic_32_ra_3_20_checkpoint_00400.pth,CIFAR101_RA_3_20
29,2.9832,0.179,resnet_basic_32_ra_3_20_checkpoint_00050.pth,CIFAR101_RA_3_20
30,2.635,0.2225,wrn_28_10_ra_3_20_checkpoint_00400.pth,CIFAR101_RA_3_20
31,2.6239,0.2345,wrn_28_10_ra_3_20_checkpoint_00050.pth,CIFAR101_RA_3_20
32,2.7529,0.5122,resnext_29_4x64d_ra_2_5_checkpoint_00050.pth,CIFAR10_RA_2_5
33,1.1561,0.623,resnext_29_4x64d_ra_2_5_checkpoint_00400.pth,CIFAR10_RA_2_5
34,2.1437,0.5146,resnet_basic_32_ra_2_5_checkpoint_00050.pth,CIFAR10_RA_2_5
35,2.033,0.5766,wrn_28_10_ra_2_5_checkpoint_00050.pth,CIFAR10_RA_2_5
36,1.2799,0.6285,wrn_28_10_ra_2_5_checkpoint_00400.pth,CIFAR10_RA_2_5
37,1.7086,0.569,resnet_basic_32_ra_2_5_checkpoint_00400.pth,CIFAR10_RA_2_5
38,2.7574,0.479,resnext_29_4x64d_ra_2_5_checkpoint_00050.pth,CIFAR101_RA_2_5
39,3.5211,0.4285,resnext_29_4x64d_ra_2_5_checkpoint_00400.pth,CIFAR101_RA_2_5
40,2.7267,0.4155,resnet_basic_32_ra_2_5_checkpoint_00050.pth,CIFAR101_RA_2_5
41,2.8846,0.532,wrn_28_10_ra_2_5_checkpoint_00050.pth,CIFAR101_RA_2_5
42,2.089,0.4925,wrn_28_10_ra_2_5_checkpoint_00400.pth,CIFAR101_RA_2_5
43,4.1656,0.3565,resnet_basic_32_ra_2_5_checkpoint_00400.pth,CIFAR101_RA_2_5
