,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy,Original_CI
0,densenet_BC_100_12_cm_1_.5,400,cifar10,3.053,0.3093,95.5,"(95.1, 95.9)"
1,densenet_BC_100_12_cm_1_.5,400,cifar10.1,3.211,0.271,87.6,"(86.1, 89.0)"
2,densenet_BC_100_12_cm_1_.5_refined400,50,cifar10.1,0.7471,0.863,87.6,"(86.1, 89.0)"
3,densenet_BC_100_12_cm_1_.5_refined400,50,cifar10,0.3368,0.9374,95.5,"(95.1, 95.9)"
