,Model,Epoch,Testset,Loss,Accuracy,Original_Accuracy_300epochs,Original_CI_300epochs
0,resnext_29_4x64d_ra_1_20,400,cifar10,0.4082,0.8785,96.4,"(96.0, 96.7)"
1,resnext_29_4x64d_ra_1_20,400,cifar10.1,0.8135,0.772,89.6,"(88.2, 90.9)"
2,resnext_29_4x64d_ra_1_20_refined400,50,cifar10,0.2044,0.9398,96.4,"(96.0, 96.7)"
3,resnext_29_4x64d_ra_1_20_refined400,50,cifar10.1,0.475,0.8645,89.6,"(88.2, 90.9)"
