,Model,Testset,Epoch,Loss,Accuracy,Original_Accuracy,Original_CI
0,pyramidnet_basic_110_84,cifar10,100,0.3607,0.8951,95.7,"(95.3, 96.1)"
1,pyramidnet_basic_110_84,cifar10,200,0.1904,0.9515,95.7,"(95.3, 96.1)"
2,pyramidnet_basic_110_84,cifar10,300,0.1892,0.9525,95.7,"(95.3, 96.1)"
3,pyramidnet_basic_110_84,cifar10.1,300,0.4247,0.888,89.3,"(87.8, 90.6)"
